,PERIOD,PRIMARY_LABEL,SECONDARY_LABEL,ACCOUNT,CATEGORY,SUBCATEGORY,BASE_TOKEN_ADDRESS,VALUE_BASE_TOKEN,VALUE_USD,TOKEN_PRICE,QTY,QTY_USD,LAG_QTY,LAG_PRICE
0,2020-12-01T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,586.22,0.0,0.0,,
1,2020-12-02T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,598.25,0.0,0.0,0.0,586.22
2,2020-12-03T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,615.74,0.0,0.0,0.0,598.25
3,2020-12-04T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,571.77,0.0,0.0,0.0,615.74
4,2020-12-05T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,595.13,0.0,0.0,0.0,571.77
5,2020-12-06T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,601.07,0.0,0.0,0.0,595.13
6,2020-12-07T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,591.29,0.0,0.0,0.0,601.07
7,2020-12-08T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,553.37,0.0,0.0,0.0,591.29
8,2020-12-09T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,573.73,0.0,0.0,0.0,553.37
9,2020-12-10T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,560.64,0.0,0.0,0.0,573.73
10,2020-12-11T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,545.58,0.0,0.0,0.0,560.64
11,2020-12-12T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,568.98,0.0,0.0,0.0,545.58
12,2020-12-13T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,590.71,0.0,0.0,0.0,568.98
13,2020-12-14T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,586.3,0.0,0.0,0.0,590.71
14,2020-12-15T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,586.45,0.0,0.0,0.0,586.3
15,2020-12-16T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,629.42,0.0,0.0,0.0,586.45
16,2020-12-17T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,639.11,0.0,0.0,0.0,629.42
17,2020-12-18T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,651.25,0.0,0.0,0.0,639.11
18,2020-12-19T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,659.58,0.0,0.0,0.0,651.25
19,2020-12-20T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4064.0,2595717.44,638.71,4064.0,2595717.44,0.0,659.58
20,2020-12-21T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,610.23,4064.0,2479974.72,4064.0,638.71
21,2020-12-22T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1760.0,1114643.2000000002,633.32,5824.0,3688455.68,4064.0,610.23
22,2020-12-23T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1952.0,1141841.9200000002,584.96,7776.0,4548648.96,5824.0,633.32
23,2020-12-24T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,832.0,508485.12,611.16,8608.0,5260865.279999999,7776.0,584.96
24,2020-12-25T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3552.0,2222237.76,625.63,12160.0,7607660.8,8608.0,611.16
25,2020-12-26T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,256.0,162552.32,634.97,12416.0,7883787.52,12160.0,625.63
26,2020-12-27T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3456.0,2379041.28,688.38,15872.0,10925967.36,12416.0,634.97
